hour,ust_inflow,ust_outflow,net_outflow,whale_outflow,small_outflow,hhi,top_share
2022-04-20 00:00:00+00:00,597037462.614776,92411916.70109601,-504625545.91368,688051.010987,91723865.69010901,0.7737581548023379,0.007445479279609397
2022-04-20 01:00:00+00:00,60624647.630183,55502612.623783,-5122035.006399997,32013202.971936,23489409.651847,0.4178817805040353,0.5767873161022742
2022-04-20 02:00:00+00:00,79438430.573037,78569470.45216599,-868960.1208710074,16228950.395596,62340520.05657,0.4235171088999286,0.20655542543686067
2022-04-20 03:00:00+00:00,118224771.272313,73961366.569264,-44263404.703049004,33817941.364859,40143425.204405,0.3788233867023762,0.45723791938307246
2022-04-20 04:00:00+00:00,68365975.832583,88268709.94494401,19902734.112361014,32188409.947439,56080299.997505,0.433147105935315,0.3646638765596091
2022-04-20 05:00:00+00:00,97365469.251109,78659346.127149,-18706123.123960003,63996.264154000004,78595349.862995,0.6786544623058656,0.0008135875430562716
2022-04-20 06:00:00+00:00,42963448.863089,37193630.86643,-5769817.996659003,16506565.288244,20687065.578186,0.3840983448438159,0.4438008579351255
2022-04-20 07:00:00+00:00,5680952.408438,5796833.079175,115880.67073700018,180573.840687,5616259.238488,0.08233415008034396,0.031150429591582977
2022-04-20 08:00:00+00:00,51058627.132176995,47818777.677829996,-3239849.4543469995,33702301.158818,14116476.519012,0.47225757059568213,0.704792192428692
2022-04-20 09:00:00+00:00,59988345.127879,60447688.851914,459343.7240350023,18147.232838,60429541.619076006,0.36665746388405435,0.0003002138408046909
2022-04-20 10:00:00+00:00,90765187.899183,95732265.60638,4967077.707196996,108043.880927,95624221.725453,0.4913258965128166,0.0011286046584465196
2022-04-20 11:00:00+00:00,42630848.350875996,29761862.172363,-12868986.178512994,17308129.909219,12453732.263144,0.3301472332937926,0.5815539971585315
2022-04-20 12:00:00+00:00,8678026.21257,11076324.970767999,2398298.7581979986,337368.69018200005,10738956.280586,0.0685683133323439,0.03045854027146767
2022-04-20 13:00:00+00:00,115737536.85429901,98628280.478891,-17109256.37540801,69907231.074112,28721049.404779002,0.47268309075859727,0.7087949899833643
2022-04-20 14:00:00+00:00,107916234.75376602,117195104.858448,9278870.104681984,32704239.147289,84490865.71115899,0.2736505789999747,0.2790580646417803
2022-04-20 15:00:00+00:00,99908629.709037,96370168.371228,-3538461.3378090113,49627020.086577,46743148.284651,0.3218420815692961,0.5149624715338103
2022-04-20 16:00:00+00:00,63747254.778171,90334900.929456,26587646.151284993,16641271.622949,73693629.306507,0.31186379070537007,0.18421752226135105
2022-04-20 17:00:00+00:00,29041360.527627,25539546.990804,-3501813.536822997,105074.937825,25434472.052979,0.42739694302963344,0.0041142052309241905
